C,NEMP.WORLD,TRADINGIS,AEMO,PUBLIC,2025/06/06,23:55:11,0000000466599017,TRADINGIS,0000000466599016
I,TRADING,INTERCONNECTORRES,2,SETTLEMENTDATE,RUNNO,INTERCONNECTORID,PERIODID,METEREDMWFLOW,MWFLOW,MWLOSSES,LASTCHANGED
D,TRADING,INTERCONNECTORRES,2,"2025/06/07 00:00:00",1,N-Q-MNSP1,288,-10.8,0,0,"2025/06/06 23:55:03"
D,TRADING,INTERCONNECTORRES,2,"2025/06/07 00:00:00",1,NSW1-QLD1,288,48,4.6,0.1,"2025/06/06 23:55:03"
D,TRADING,INTERCONNECTORRES,2,"2025/06/07 00:00:00",1,T-V-MNSP1,288,-451.7,-471.67,24.97,"2025/06/06 23:55:03"
D,TRADING,INTERCONNECTORRES,2,"2025/06/07 00:00:00",1,V-S-MNSP1,288,-125,-125,28.04,"2025/06/06 23:55:03"
D,TRADING,INTERCONNECTORRES,2,"2025/06/07 00:00:00",1,V-SA,288,0.87,55.01,1.3,"2025/06/06 23:55:03"
D,TRADING,INTERCONNECTORRES,2,"2025/06/07 00:00:00",1,VIC1-NSW1,288,780.89,739.85,55.03,"2025/06/06 23:55:03"
I,TRADING,PRICE,3,SETTLEMENTDATE,RUNNO,REGIONID,PERIODID,RRP,EEP,INVALIDFLAG,LASTCHANGED,ROP,RAISE6SECRRP,RAISE6SECROP,RAISE60SECRRP,RAISE60SECROP,RAISE5MINRRP,RAISE5MINROP,RAISEREGRRP,RAISEREGROP,LOWER6SECRRP,LOWER6SECROP,LOWER60SECRRP,LOWER60SECROP,LOWER5MINRRP,LOWER5MINROP,LOWERREGRRP,LOWERREGROP,RAISE1SECRRP,RAISE1SECROP,LOWER1SECRRP,LOWER1SECROP,PRICE_STATUS
D,TRADING,PRICE,3,"2025/06/07 00:00:00",1,SA1,288,-21,0,0,"2025/06/06 23:55:03",-21,0.23,0.23,0.04,0.04,0.1,0.1,5.99,5.99,0.1,0.1,0.38,0.38,0.38,0.38,2.31,2.31,0.81,0.81,0,0,FIRM
D,TRADING,PRICE,3,"2025/06/07 00:00:00",1,NSW1,288,84.79,0,0,"2025/06/06 23:55:03",84.79,0.23,0.23,0.04,0.04,0.1,0.1,5.99,5.99,0.1,0.1,0.38,0.38,0.38,0.38,2.31,2.31,0.81,0.81,0,0,FIRM
D,TRADING,PRICE,3,"2025/06/07 00:00:00",1,QLD1,288,86.65,0,0,"2025/06/06 23:55:03",86.65,0.23,0.23,0.04,0.04,0.1,0.1,5.99,5.99,0.1,0.1,0.38,0.38,0.38,0.38,2.31,2.31,0.81,0.81,0,0,FIRM
D,TRADING,PRICE,3,"2025/06/07 00:00:00",1,TAS1,288,83.38,0,0,"2025/06/06 23:55:03",83.38,0.38,0.38,0.38,0.38,0.36,0.36,7.56,7.56,0.1,0.1,0.38,0.38,0,0,3.06,3.06,0.81,0.81,0,0,FIRM
D,TRADING,PRICE,3,"2025/06/07 00:00:00",1,VIC1,288,73.96,0,0,"2025/06/06 23:55:03",73.96,0.23,0.23,0.04,0.04,0.1,0.1,5.99,5.99,0.1,0.1,0.38,0.38,0.38,0.38,2.31,2.31,0.81,0.81,0,0,FIRM
C,"END OF REPORT",15
